Address,Age,City,Education,Employment,Fertility,FirstName,FullName,Gender,HairColor,Height,LastName,MiddleI,Race,Salary,State,Weight,Zip
5816 S. Pine Street,75,Sunnydale,GS,H,1,Colin,Colin L. Robinson,M,Blonde,67.64,Robinson,L.,W,65.0,AR,156,13519
3732 W. Hill Street,38,Atlantis,4YD,L,3,Dustin,Dustin T. Collins,M,Brown,67.85,Collins,T.,W,65.0,CT,175,41702
2288 N. Chambers Street,70,Chico,2YD,C,1,Jill,Jill J. Roberts,F,Blonde,65.11,Roberts,J.,W,49.92,CA,115,43659
2759 W. Oak Street,52,Westworld,PHD,U,1,Bisonn,Bisonn M. Griffin,M,Red,68.38,Griffin,M.,W,62.0,WA,179,79701
1182 W. Lake Avenue,35,Thundera,2YD,U,0,Kyle,Kyle G. Alexander,M,Brown,65.85,Alexander,G.,W,74.0,ME,173,39070
8298 S. Maple Blvd.,37,Braavos,MAS,E,3,Ruben,Ruben G. Fisher,M,Brown,68.14,Fisher,G.,W,63.5,IA,147,68373
772 S. Oak Road,23,New York,2YD,U,2,Shatoya,Shatoya C. Ellis,F,Black,64.84,Ellis,C.,B,49.92,NY,129,93428
8586 N. Washington Road,70,Smalltown,MAS,H,1,Gina,Gina E. Rose,F,Black,69.79,Rose,E.,W,49.92,GA,114,93268
5574 W. 75th Street,33,Oldtown,PHD,S,0,Lisa,Lisa M. West,F,Brown,68.55,West,M.,W,53.43,CT,154,23409
787 E. Pine Street,31,Racine,HS,L,2,Lorraine,Lorraine E. Kelly,F,Blonde,66.15,Kelly,E.,W,45.63,WI,138,79441
6104 W. Elm Road,38,Daytona Beach,2YD,E,2,Jack,Jack R. Turner,M,Brown,67.32,Turner,R.,W,56.5,FL,145,60612
3824 S. Elm Road,46,Winterfell,GS,H,2,Benjamin,Benjamin D. Wells,M,Brown,70.3,Wells,D.,W,71.0,MS,142,35627
8364 S. Oak Road,71,Faketown,2YD,L,0,Thelma,Thelma M. Ross,F,Blonde,70.24,Ross,M.,W,50.7,PA,144,86635
7277 W. 95th Street,66,Lakeview,HS,E,0,Julia,Julia A. Cooper,F,Red,68.39,Cooper,A.,W,55.38,TN,191,46145
3011 W. Oak Street,35,Epicburg,HS,H,0,Araceli,Araceli B. Aguirre,F,Black,60.9,Aguirre,B.,H,53.43,PA,130,25803
8198 W. Oak Road,21,Dawnstar,GS,C,0,Kashton,Kashton J. Russell,M,Black,75.83,Russell,J.,W,56.5,VA,163,51037
4318 E. Oak Street,59,Braavos,GS,L,2,Helen,Helen J. Lee,F,Brown,60.24,Lee,J.,W,41.34,AK,242,91428
1388 W. Pine Road,50,Waco,GS,S,1,Betty,Betty E. Turner,F,Brown,62.49,Turner,E.,W,53.43,TX,132,38865
8849 N. Maple Street,57,River West,GS,C,2,Agnus,Agnus A. Carter,F,Blonde,60.42,Carter,A.,W,41.34,ND,188,60141
672 E. Townsend Road,56,Eerie,PHD,S,2,Andra,Andra L. Fields,M,Black,67.23,Fields,L.,B,58.5,AZ,232,36696
3321 N. Cedar Road,30,Bedrock,PHD,L,1,Floyd,Floyd J. Ward,M,Brown,66.32,Ward,J.,W,61.0,VA,202,94112
4643 E. Cedar Road,60,Sunnydale,HS,U,0,Brendan,Brendan L. Reynolds,M,Brown,68.9,Reynolds,L.,W,60.0,PA,187,90043
6582 W. Hill Road,41,Epicburg,PHD,L,2,Christina,Christina D. Williams,F,Blonde,68.6,Williams,D.,W,42.9,IA,157,84195
1098 N. National Avenue,69,Smalltown,4YD,C,0,Ralph,Ralph L. Hall,M,Blonde,67.11,Hall,L.,W,63.5,MO,198,87687
2370 W. Clarke Street,68,Los Angeles,2YD,H,1,Rhonda,Rhonda M. Ryan,F,Brown,66.46,Ryan,M.,W,39.0,CA,162,69897
8768 S. 84th Blvd.,36,Midland,PHD,C,2,Georgia,Georgia M. Kelly,F,Brown,66.66,Kelly,M.,W,42.9,TX,154,86637
8511 W. 34 Street,40,Thundera,HS,E,0,Biyen,Biyen D. Collins,M,Black,67.47,Collins,D.,I,71.0,VA,170,18108
9243 S. Park Road,18,Mordor,GS,E,2,Colton,Colton F. Jones,M,Brown,77.69,Jones,F.,W,68.5,MN,193,85293
9560 E. North Street,37,San Antonio,2YD,S,1,Jaxon,Jaxon J. Campbell,M,Brown,75.23,Campbell,J.,W,50.0,TX,234,70532
4000 E. Locust Blvd.,66,Miami,2YD,U,7,Keaton,Keaton G. Simmons,M,Blonde,67.59,Simmons,G.,W,73.5,FL,169,94678
9578 W. National Avenue,47,Daytona Beach,4YD,C,4,Ninah,Ninah R. Moreno,F,Black,65.58,Moreno,R.,H,46.800000000000004,FL,111,75113
5610 S. Center Blvd.,66,San Antonio,PHD,E,0,Kim,Kim M. Young,F,Brown,58.89,Young,M.,W,44.85,TX,134,27846
8813 E. Main Street,18,New York,HS,S,0,Tashina,Tashina E. Wright,F,Black,61.21,Wright,E.,B,55.38,NY,120,34220
4242 W. 34 Street,54,South Park,MAS,S,1,Arthur,Arthur T. Hall,M,Brown,68.63,Hall,T.,W,71.0,OR,233,67559
9653 N. Center Blvd.,54,Balmora,4YD,U,2,Judith,Judith R. Hansen,F,Blonde,67.53,Hansen,R.,W,45.63,SC,138,61564
1624 S. High Blvd.,32,Tampa,PHD,C,2,Sherry,Sherry M. Wallace,F,Brown,61.07,Wallace,M.,W,42.9,FL,158,89254
7496 N. Park Road,54,Blackwater,2YD,L,0,Shannel,Shannel J. Reed,F,Black,62.1,Reed,J.,B,50.7,OH,165,81371
8104 N. Cedar Avenue,21,River West,HS,C,0,Judy,Judy E. Wood,F,Blonde,59.65,Wood,E.,W,42.9,GA,176,92254
8823 N. Washington Street,56,King's Landing,GS,H,0,Alphonse,Alphonse C. Ford,M,Black,69.02,Ford,C.,B,57.5,ID,188,88366
689 S. High Blvd.,38,Green Bay,MAS,C,1,Heidi,Heidi M. Marshall,F,Blonde,65.9,Marshall,M.,W,45.63,WI,153,47664
4499 N. Washington Avenue,45,Balmora,PHD,L,3,Brad,Brad J. Roberts,M,Brown,68.25,Roberts,J.,W,68.5,VA,181,81433
9701 N. Main Blvd.,62,Eerie,HS,H,2,Álvaro,Álvaro C. Suarez,M,Black,70.07,Suarez,C.,H,65.0,RI,166,87444
6124 N. Hill Road,50,Miami,MAS,C,3,Stephanie,Stephanie M. Phillips,F,Brown,68.77,Phillips,M.,W,44.85,FL,120,90621
7343 N. 84th Street,37,King's Landing,PHD,U,2,Deborah,Deborah L. Henderson,F,Black,67.4,Henderson,L.,W,44.07,MA,189,43221
2141 E. High Blvd.,51,Sacramento,4YD,S,1,Susan,Susan G. Wells,F,Black,65.51,Wells,G.,W,42.9,CA,224,20105
3540 W. Cedar Road,46,Fresno,4YD,L,0,Andy,Andy D. Morgan,M,Brown,73.53,Morgan,D.,W,58.5,CA,167,71672
7031 N. National Avenue,41,Thundera,2YD,U,3,Helen,Helen L. Campbell,F,Red,61.58,Campbell,L.,W,45.63,NM,139,90738
8542 S. North Street,34,Chico,HS,L,1,Monica,Monica I. Jackson,F,Red,59.12,Jackson,I.,W,57.330000000000005,CA,174,25097
8718 E. Hill Avenue,24,Pythonville,HS,U,2,Karen,Karen C. Martin,F,Blonde,67.68,Martin,C.,W,45.63,UT,146,58045
7671 S. North Street,32,Atlantis,PHD,E,1,Bobby,Bobby G. Pfeifer,M,Brown,67.21,Pfeifer,G.,W,55.0,PA,197,79382
6687 S. Elm Road,22,Blackwater,HS,E,2,Jovita,Jovita E. King,F,Black,63.48,King,E.,B,50.7,NM,129,96120
4245 W. Elm Road,53,Lakeview,GS,H,1,Allison,Allison J. Jenkins,F,Brown,61.55,Jenkins,J.,W,44.07,MT,144,30570
1410 W. GreenField Avenue,26,Tampa,2YD,U,0,Bonnie,Bonnie A. Hayes,F,Brown,66.58,Hayes,A.,W,56.160000000000004,FL,150,81918
9206 N. Elm Street,32,King's Landing,MAS,E,3,Cheryl,Cheryl J. Nichols,F,Brown,61.74,Nichols,J.,W,39.78,SC,143,95144
3770 E. Washington Avenue,50,Westworld,4YD,C,3,Giovanni,Giovanni D. Wagner,M,Brown,69.73,Wagner,D.,W,63.5,SC,184,96659
5482 N. High Street,61,Los Angeles,2YD,C,2,Harold,Harold G. Jordan,M,Red,66.49,Jordan,G.,W,60.0,CA,184,16979
4435 W. Oak Road,55,Lander,2YD,U,2,Kasa,Kasa D. Cox,M,Black,65.52,Cox,D.,I,55.0,FL,187,61237
583 W. Pine Street,68,Gotham,4YD,E,3,Alisha,Alisha N. Silva,F,Black,62.19,Silva,N.,H,42.9,IL,140,27387
8096 E. Elm Blvd.,31,Mordor,PHD,H,2,Sara,Sara A. Sullivan,F,Brown,58.45,Sullivan,A.,W,39.0,SD,117,82168
8668 N. Washington Road,34,Lakeview,MAS,C,3,Dustin,Dustin C. Thompson,M,Brown,64.16,Thompson,C.,W,72.0,AK,211,13041
7246 E. National Avenue,30,Dawnstar,HS,S,1,Crystal,Crystal N. White,F,Brown,64.16,White,N.,W,49.92,PA,123,75882
1372 N. Arthur Road,24,Pythonville,GS,H,1,Jeanne,Jeanne R. Myers,F,Brown,66.75,Myers,R.,W,57.330000000000005,IA,123,95155
2095 S. Pearl Road,30,Sunnydale,HS,C,0,Rafael,Rafael J. Maldonado,M,Black,60.12,Maldonado,J.,H,55.0,CO,179,69903
3141 E. Townsend Road,71,Buffalo,PHD,E,2,Ruth,Ruth C. Mitchell,F,Brown,72.11,Mitchell,C.,W,56.160000000000004,NY,154,88914
7675 E. Becher Street,39,Eerie,MAS,L,2,Carla,Carla L. Richardson,F,Brown,59.84,Richardson,L.,W,39.78,RI,156,74778
3302 W. Clarke Street,39,Buffalo,PHD,C,0,Sylvia,Sylvia E. Bennett,F,Black,57.63,Bennett,E.,W,42.9,NY,113,46018
7467 E. Pine Street,73,Oldtown,HS,U,0,Craig,Craig J. Ellis,M,Red,65.54,Ellis,J.,W,63.5,NC,145,51253
7648 S. 17th Street,68,Balmora,PHD,H,3,Juanmartín,Juanmartín D. Campos,M,Black,71.75,Campos,D.,H,65.0,RI,203,59327
8558 W. Park Blvd.,42,Valyria,4YD,C,7,Guillermo,Guillermo C. Perez,M,Black,64.01,Perez,C.,H,53.0,KS,165,59850
3553 N. Center Blvd.,37,Atlantis,MAS,S,1,Leonda,Leonda A. Brown,F,Black,65.38,Brown,A.,B,50.7,IL,182,78140
3644 S. Maple Street,59,Winterfell,HS,U,1,Deborah,Deborah L. King,F,Brown,61.58,King,L.,W,49.92,PA,119,85806
8219 S. High Street,57,Chico,PHD,S,1,Viola,Viola H. Hayes,F,Brown,57.96,Hayes,H.,W,45.63,CA,169,65870
5543 N. Oak Road,26,Atlantis,HS,H,3,Russell,Russell D. Cooper,M,Brown,65.51,Cooper,D.,W,68.5,IL,158,67123
2215 N. Clarke Street,71,Westworld,PHD,H,0,Kelly,Kelly H. Wallace,F,Brown,68.37,Wallace,H.,W,56.160000000000004,KY,116,73202
8784 E. 75th Street,74,Tampa,HS,C,0,Jack,Jack S. Peters,M,Brown,66.48,Peters,S.,W,73.5,FL,199,54822
5940 E. Locust Blvd.,47,Balmora,PHD,H,0,Brendan,Brendan J. Adams,M,Blonde,72.78,Adams,J.,W,62.0,LA,203,20798
3198 S. Wright Blvd.,68,Braavos,2YD,L,3,Calida,Calida B. Rios,F,Black,60.07,Rios,B.,H,42.9,WV,134,69114
2795 E. Cedar Avenue,21,Bedrock,2YD,C,0,Amber,Amber H. Watson,F,Blonde,66.28,Watson,H.,W,42.9,ID,164,83212
3746 S. Hill Street,62,Los Angeles,HS,L,2,Colton,Colton M. Stone,M,Brown,73.69,Stone,M.,W,51.0,CA,149,67460
8958 W. Main Street,61,Gotham,PHD,L,0,Terri,Terri J. Campbell,F,Black,59.84,Campbell,J.,W,45.63,IL,141,69355
2756 S. Washington Avenue,46,Mordor,2YD,U,1,Brandon,Brandon D. Smith,M,Blonde,72.65,Smith,D.,W,65.0,IN,147,61772
6475 E. Lake Avenue,21,Braavos,HS,L,1,Mary,Mary E. Meyer,F,Brown,64.17,Meyer,E.,W,55.38,MI,157,74266
8641 W. Elm Street,73,Buffalo,MAS,C,1,Jonah,Jonah J. Jordan,M,Red,73.17,Jordan,J.,W,50.0,NY,188,33400
5138 N. Pearl Road,28,Racine,MAS,U,3,Joann,Joann J. Patterson,F,Brown,67.51,Patterson,J.,W,39.0,WI,116,94404
5416 W. Hill Avenue,76,Bedrock,MAS,U,3,Rondy,Rondy D. Miller,M,Black,67.94,Miller,D.,B,73.5,MN,222,58491
4431 E. Chambers Street,67,Sunnydale,MAS,U,0,Charlie,Charlie D. Allen,M,Blonde,71.2,Allen,D.,W,65.0,NC,140,90806
6648 S. 91st Street,25,River West,4YD,S,0,Veronica,Veronica G. Hansen,F,Black,69.87,Hansen,G.,W,50.7,ME,154,88090
3261 N. Locust Blvd.,66,New York,4YD,H,5,Aaron,Aaron R. Cook,M,Black,67.41,Cook,R.,W,64.0,NY,158,41329
4386 N. Arthur Road,72,Dawnstar,PHD,C,0,Connie,Connie H. Jackson,F,Brown,63.75,Jackson,H.,W,42.9,MN,163,81731
1674 W. Cedar Blvd.,59,King's Landing,PHD,S,0,Steve,Steve W. Hill,M,Blonde,68.47,Hill,W.,W,62.0,LA,159,59795
6815 W. Main Street,73,Vice City,2YD,H,2,Linda,Linda M. Barnes,F,Brown,64.97,Barnes,M.,W,42.9,KS,192,54547
5167 S. GreenField Avenue,51,Buffalo,4YD,S,2,Joyce,Joyce A. Stone,F,Blonde,63.3,Stone,A.,W,42.9,NY,123,86231
2661 E. 75th Street,56,New York,PHD,H,1,Lois,Lois A. Bailey,F,Brown,67.84,Bailey,A.,W,46.800000000000004,NY,168,21005
8044 W. National Avenue,61,Metropolis,MAS,L,2,Eileen,Eileen C. Kennedy,F,Black,61.1,Kennedy,C.,W,53.43,GA,159,12963
7448 N. High Street,39,Bedrock,HS,S,2,Francisco,Francisco J. Garcia,M,Black,71.38,Garcia,J.,H,53.0,VA,160,20503
1551 S. Becker Street,45,Sunnydale,HS,S,0,Connor,Connor L. Powell,M,Brown,64.62,Powell,L.,W,56.5,ID,170,61703
5909 E. Garfield Road,23,Tampa,HS,C,0,Camille,Camille N. Watson,F,Black,63.04,Watson,N.,W,47.58,FL,131,67088
6053 S. Washington Avenue,39,Epicburg,4YD,E,1,Alexia,Alexia R. Evans,F,Blonde,61.5,Evans,R.,W,39.0,AZ,162,51343
3214 E. Pine Street,65,Blackwater,4YD,L,2,Suzanne,Suzanne M. Martin,F,Red,61.48,Martin,M.,W,49.53,MS,155,68104
467 W. Pine Street,55,Braavos,MAS,C,2,Corey,Corey C. Reynolds,M,Brown,67.17,Reynolds,C.,W,68.5,KY,169,93740
5994 E. 95th Street,25,Orlando,4YD,S,2,Courtney,Courtney D. Powell,F,Blonde,63.98,Powell,D.,W,48.36,FL,126,71316
7313 E. Hill Avenue,36,Blackwater,PHD,H,1,Lillie,Lillie M. Hansen,F,Brown,60.86,Hansen,M.,W,45.63,PA,150,55472
2915 S. 95th Blvd.,51,Sacramento,MAS,C,0,Bernadette,Bernadette G. Morgan,F,Brown,65.98,Morgan,G.,W,39.0,CA,127,27317
5597 N. Hill Road,42,Springfield,GS,L,2,Álex,Álex J. Molina,M,Black,67.07,Molina,J.,H,71.0,GA,167,17780
6590 W. Hill Avenue,59,Sacramento,HS,E,1,Peggy,Peggy M. Butler,F,Black,66.19,Butler,M.,W,47.58,CA,115,44436
6825 W. Locust Street,51,Winterfell,PHD,S,0,Dylan,Dylan R. Snyder,M,Brown,68.03,Snyder,R.,W,61.0,CO,144,83429
586 E. 84th Street,58,Sacramento,MAS,H,1,Joseph,Joseph C. Cox,M,Brown,70.24,Cox,C.,W,50.0,CA,153,53928
8542 E. Garfield Road,64,River West,GS,H,1,Kimberly,Kimberly H. Nelson,F,Brown,69.09,Nelson,H.,W,55.38,MD,154,74170
8193 W. Oak Road,58,Lakeview,PHD,U,3,Brenda,Brenda J. Myers,F,Brown,62.4,Myers,J.,W,46.800000000000004,MT,159,45251
2513 N. Pearl Road,46,Braavos,4YD,U,1,Edna,Edna C. Nelson,F,Blonde,62.07,Nelson,C.,W,57.72,UT,127,80587
881 S. Lake Avenue,46,Olympus,GS,C,3,Gene,Gene L. Robinson,M,Black,68.63,Robinson,L.,W,65.0,NC,195,44148
3500 S. 91st Blvd.,26,Balmora,2YD,C,3,Barabara,Barabara D. Nelson,F,Brown,66.22,Nelson,D.,W,39.0,NC,154,64629
5704 S. Hill Street,67,Metropolis,PHD,E,0,Adam,Adam F. Peterson,M,Brown,66.36,Peterson,F.,W,71.0,WA,166,58658
4035 S. Elm Road,30,San Antonio,4YD,C,1,Antiere,Antiere L. Jenkins,M,Black,69.71,Jenkins,L.,B,64.0,TX,152,35356
3459 E. Washington Street,70,South Park,4YD,E,0,Cathy,Cathy M. Hayes,F,Red,65.42,Hayes,M.,W,44.07,NE,128,86117
2159 N. Lake Road,30,Eerie,MAS,E,0,Rita,Rita A. Parker,F,Brown,62.96,Parker,A.,W,47.58,VA,156,22911
6268 S. Lake Road,66,Lander,HS,S,3,Mahpee,Mahpee I. Rainwater,F,Black,57.39,Rainwater,I.,I,53.43,FL,155,76939
6456 W. Lake Avenue,58,Lander,PHD,C,1,Caitlyn,Caitlyn A. Burns,F,Black,57.4,Burns,A.,W,41.34,FL,160,17811
9350 E. Townsend Road,38,River West,GS,H,0,Reinaldo,Reinaldo T. Morales,M,Black,71.71,Morales,T.,H,65.0,PA,162,33089
3254 S. 17th Street,27,Chico,HS,S,5,Terrell,Terrell W. Johnson,M,Black,67.76,Johnson,W.,B,65.0,CA,177,85974
3280 N. Garfield Road,27,Metropolis,2YD,C,0,Melissa,Melissa D. Hayes,F,Blonde,69.85,Hayes,D.,W,46.800000000000004,IL,118,42110
5989 W. 84th Street,35,Buffalo,HS,L,2,Floridita,Floridita D. Navarro,F,Black,62.63,Navarro,D.,H,55.38,NY,115,23052
6932 W. Townsend Road,60,Vice City,PHD,L,2,Skyler,Skyler W. Murphy,M,Brown,75.86,Murphy,W.,W,71.0,IL,142,96071
8065 N. Lake Road,33,Fresno,4YD,L,2,Victor,Victor C. Jackson,M,Brown,69.87,Jackson,C.,W,64.0,CA,158,12140
8560 N. Park Street,56,Faketown,PHD,H,1,Ciar,Ciar T. Jones,M,Black,73.27,Jones,T.,B,53.0,HI,190,93632
8855 S. Washington Avenue,22,Lander,GS,H,3,Clarisa,Clarisa E. Santiago,F,Black,70.56,Santiago,E.,H,39.0,FL,161,94889
4229 W. 34 Street,65,Vice City,4YD,E,3,Elizabeth,Elizabeth M. Ryan,F,Black,61.26,Ryan,M.,W,53.43,KY,132,88147
3934 S. Main Street,37,Eerie,MAS,C,5,Nicholas,Nicholas C. Murphy,M,Blonde,63.95,Murphy,C.,W,51.0,IL,182,27911
9515 E. Oak Blvd.,27,Smalltown,2YD,C,0,Caitlyn,Caitlyn A. Roberts,F,Blonde,63.55,Roberts,A.,W,50.7,MN,175,69447
1569 S. Oak Road,18,Winterfell,GS,U,1,Deja,Deja G. Marshall,F,Black,66.63,Marshall,G.,B,39.0,HI,115,92508
7299 S. Townsend Road,71,Sunnydale,4YD,H,1,Pamela,Pamela E. Moore,F,Blonde,57.87,Moore,E.,W,44.07,AZ,200,95338
